Year;Question;Topic;Subject
2028;Sur les nb complexes, pour calculer l’argument d’un nb réel et imaginaire pur, après avoir mis l’angle, on met [pi] ou [2pi]? Ex:  arg(2i)=pi/2 [pi] ou [2pi] ? Il me semble plus logique que se soit [2pi] mais je ne sais pas pourquoi,;complex-numbers;maths
2028;Comment une fonction peut être injective et surjective en même temps sachant qu'une fonction injective associe (en très gros c'est ce que j'ai compris) un y à un x au max et qu'une surjective peut associer plusieurs y à un x ? Toute injective est surjective ?;functions;maths
2028;Comment on résout un système ?;system-resolution;maths
2027;Salut, je bloque sur une question en maths. Est-ce que quelqu’un pourrait m’aider svp. J’ai posé u(x)=(3x-7)^4 et v(x)=racine de 4x-3. Et après j’ai dérivé avec la formule uv=u’v+uv’ mais j’aboutis a quelque de bizarre.;derivatives;maths
2027;On est d'accord que (ln(kx))' avec k une constante ça donne k/x ?;derivatives;maths
2027;"La négation de = c'est ""différent"" ?";logic;maths
2027;Si une fonction est continue elle est forcément surjective ?;functions;maths
2027;Du coup pour trouver un produit téléscopique, on doit définir une suite?;series;maths
2027;tu connais la formule de pascal?;analysis;maths
2027;Est ce possible que la derivée soit negative et que la fonction soit croissante?;functions;maths
2027;Pendant que l'on y est, c'est quoi le domaine de dérivabilité de arcsin(x) et de arctan(x) ?;functions;maths
2027;Pourquoi arcsin(cos(x)) est dérivable sur ]0,pi[ alors que arccos(cos(x)) sur ]-1,0[U]0,1[ ?;functions;maths
2024;J'ai besoin d'aide pour resoudre ce systeme d'equation;system-resolution;maths
2024;Y a pas qq'un qui peut m'aider a comprendre les noyau c'est trop complique ce truc.;algebra;maths
2024;Qui peut m'expliquer comment on diagonaliser une matrice ?;matrices;maths
2024;Je comprends rien a l'integration par partie!;integrals;maths
2024;C'est quoi le theoreme de Gauss ?;algebra;maths
2024;C'est quoi la demo pour dire qu'une matrice n'est pas inversible ?;system-resolution;maths
2024;Tu peux m'aider pour les revision de Ma211 ?;operations;maths
2024;Est-ce qye quelqu'un a un cours d'optimisation differentiable ?;optimization;maths
2024;Je comprends r aux vecteurs propres et aux valeurs propres.;matrices;maths
2024;Je comprends pas pk il y a un - ici alors que dans la correction c'est un +. C'est moi je me suis trompé en dérivant ou c'est une erreur dans la correction ?;derivatives;maths
